DB ID,Model No.,Frequency_Hz,Phase,HP,Power(KW),Outlet (mm),Outlet (inch),Pass Solid Dia(mm),Max Flow (LPM),Max Head (M),Max Head (ft),Category,Product Link,Head Rated/M,Q Rated/LPM,id
1,100ADL57.5,50,3,10,7.5kW,100,"4""",80.0,300,22,72,Dirty Water,https://www.hungpump.com/adl,12.0,1850.0,60ada6e4-7363-4837-98f7-05c4c35597ef
2,50ADVS5.75,50,1,1,750W,50,"2""",33.0,320,14,46,Dirty Water,https://www.hungpump.com/advs,9.0,140.0,ad30a017-b77e-42fb-a6bf-381db718f813
3,50ADVS5.75,50,3,1,750W,50,"2""",33.0,320,14,46,Dirty Water,https://www.hungpump.com/advs,9.0,140.0,4b233b08-45e7-4072-8f08-05f2b8997d8d
4,50ADVS5.75,50,3,1,750W,50,"2""",33.0,320,14,46,Dirty Water,https://www.hungpump.com/advs,9.0,140.0,e20d6d6b-bf13-4405-8036-41b0487f6d08
6,50ADVS51.5,50,1,2,1.5kW,50,"2""",31.0,420,22,72,Dirty Water,https://www.hungpump.com/advs,12.0,250.0,ffdcc633-4a0a-45e6-b19e-0dbb0e0c6656
7,50ADVS51.5,50,3,2,1.5kW,50,"2""",31.0,420,22,72,Dirty Water,https://www.hungpump.com/advs,12.0,250.0,9d9bc553-09a6-43be-a518-82f273c5c226
8,65ADL51.5,50,1,2,1.5kW,65,"2-1/2""",40.0,850,15,49,Dirty Water,https://www.hungpump.com/adl,12.0,370.0,5190f355-5d46-4b57-9bfa-351445787daf
9,65ADL51.5,50,3,2,1.5kW,65,"2-1/2""",40.0,850,15,49,Dirty Water,https://www.hungpump.com/adl,9.0,370.0,c1bb1854-4984-4692-af1d-c58ec330f7f9
10,65ADVS51.5,50,1,2,1.5kW,65,"2-1/2""",45.0,700,17,56,Dirty Water,https://www.hungpump.com/advs,9.0,420.0,67a1de3d-66ab-496c-a001-b29d07c0b377
11,65ADVS51.5,50,3,2,1.5kW,65,"2-1/2""",45.0,700,17,56,Dirty Water,https://www.hungpump.com/advs,9.0,420.0,3d035f37-c25c-4bc5-8904-5901b5012fac
